uid,floor,chamber,half,ch1,ch2,ch3,ch4
357e6ef2f21e11ed830a28c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Kujou Sara,Jean,Yelan
357e6ef2f21e11ed830a28c2dd2980ba,11,11-1,11-1-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
357e6ef2f21e11ed830a28c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Kujou Sara,Jean,Yelan
357e6ef2f21e11ed830a28c2dd2980ba,11,11-2,11-2-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
357e6ef2f21e11ed830a28c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Kujou Sara,Jean,Yelan
357e6ef2f21e11ed830a28c2dd2980ba,11,11-3,11-3-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
357e6ef2f21e11ed830a28c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
357e6ef2f21e11ed830a28c2dd2980ba,12,12-1,12-1-2,Kaedehara Kazuha,Lisa,Zhongli,Yelan
357e6ef2f21e11ed830a28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
357e6ef2f21e11ed830a28c2dd2980ba,12,12-2,12-2-2,Kaedehara Kazuha,Lisa,Sangonomiya Kokomi,Xiangling
357e6ef2f21e11ed830a28c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
357e6ef2f21e11ed830a28c2dd2980ba,12,12-3,12-3-2,Kaedehara Kazuha,Lisa,Sangonomiya Kokomi,Xiangling
357e6ef3f21e11ed995f28c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Fischl,Venti,Bennett
357e6ef3f21e11ed995f28c2dd2980ba,11,11-1,11-1-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
357e6ef3f21e11ed995f28c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Fischl,Venti,Bennett
357e6ef3f21e11ed995f28c2dd2980ba,11,11-2,11-2-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
357e6ef3f21e11ed995f28c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Fischl,Venti,Bennett
357e6ef3f21e11ed995f28c2dd2980ba,11,11-3,11-3-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
357e6ef3f21e11ed995f28c2dd2980ba,12,12-1,12-1-1,Cyno,Nahida,Xingqiu,Kuki Shinobu
357e6ef3f21e11ed995f28c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Fischl,Kaedehara Kazuha,Bennett
