uid,phase,name,level,cons,weapon,artifacts,element
c28b97c8254311eeb32328c2dd2980ba,2.2b,Kamisato Ayaka,90,0,Amenoma Kageuchi,Blizzard Strayer,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Ganyu,90,1,Skyward Harp,Blizzard Strayer,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Keqing,90,3,The Black Sword,Thundering Fury,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Hu Tao,90,1,Dragon's Bane,Crimson Witch of Flames,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Raiden Shogun,90,1,"""The Catch""",Emblem of Severed Fate,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Sangonomiya Kokomi,90,0,Sacrificial Fragments,Flower of Paradise Lost,Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Yae Miko,90,0,The Widsith,"Thundering Fury, Flex",Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Yelan,90,0,Aqua Simulacra,"Heart of Depth, Nymph's Dream",Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Nilou,90,0,Iron Sting,"Tenacity of the Millelith, Vourukasha's Glow",Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Klee,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex",Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Tartaglia,89,0,Prototype Crescent,"Heart of Depth, Shimenawa's Reminiscence",Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Albedo,89,1,Dull Blade,Instructor,Geo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Kaedehara Kazuha,89,0,Favonius Sword,Viridescent Venerer,Anemo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Nahida,89,0,A Thousand Floating Dreams,Deepwood Memories,Dendro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Razor,89,6,Skyward Pride,Gladiator's Finale,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Amber,89,1,The Stringless,Instructor,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Xiangling,89,6,Primordial Jade Winged-Spear,Emblem of Severed Fate,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Xingqiu,89,6,Lion's Roar,Emblem of Severed Fate,Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Ningguang,89,6,Dodoco Tales,,Geo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Fischl,89,6,Elegy for the End,"Gladiator's Finale, Thundering Fury",Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Bennett,89,5,Favonius Sword,Noblesse Oblige,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Diona,89,6,Sacrificial Bow,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Sucrose,89,6,Thrilling Tales of Dragon Slayers,,Anemo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Yanfei,89,6,Solar Pearl,"Crimson Witch of Flames, Flex",Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Kujou Sara,89,6,Favonius Warbow,Emblem of Severed Fate,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Yun Jin,89,1,Skyward Spine,Shimenawa's Reminiscence,Geo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Yaoyao,89,0,Favonius Lance,Flex,Dendro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Traveler,80,6,Dull Blade,,Dendro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Barbara,79,6,Thrilling Tales of Dragon Slayers,Flex,Hydro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Beidou,70,6,Prototype Archaic,,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Qiqi,59,2,Toukabou Shigure,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Aloy,50,0,Hunter's Bow,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Lisa,50,0,Apprentice's Notes,,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Kaeya,50,4,Festering Desire,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Chongyun,50,2,Sacrificial Greatsword,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Xinyan,50,5,Serpent Spine,,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Jean,40,3,Lion's Roar,,Anemo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Noelle,40,6,White Iron Greatsword,,Geo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Sayu,24,5,Skyward Pride,"Emblem of Severed Fate, Flex",Anemo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Thoma,22,5,Prototype Starglitter,,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Collei,22,1,Rust,Flex,Dendro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Diluc,21,1,Waster Greatsword,,Pyro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Rosaria,21,6,Beginner's Protector,,Cryo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Gorou,21,1,Recurve Bow,Instructor,Geo
c28b97c8254311eeb32328c2dd2980ba,2.2b,Dori,20,2,Rainslasher,,Electro
c28b97c8254311eeb32328c2dd2980ba,2.2b,Layla,20,0,Sacrificial Sword,,Cryo
c28bbefd254311eea64428c2dd2980ba,2.2b,Yoimiya,90,2,Thundering Pulse,"Echoes of an Offering, Gladiator's Finale",Pyro
c28bbefd254311eea64428c2dd2980ba,2.2b,Raiden Shogun,90,1,Engulfing Lightning,Emblem of Severed Fate,Electro
c28bbefd254311eea64428c2dd2980ba,2.2b,Fischl,89,6,Aqua Simulacra,"Emblem of Severed Fate, Gilded Dreams",Electro
c28bbefd254311eea64428c2dd2980ba,2.2b,Sangonomiya Kokomi,89,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam,Hydro
c28bbefd254311eea64428c2dd2980ba,2.2b,Yun Jin,89,6,"""The Catch""",Husk of Opulent Dreams,Geo
c28bbefd254311eea64428c2dd2980ba,2.2b,Klee,90,0,Solar Pearl,Wanderer's Troupe,Pyro
