uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
7c42cccd92a611ee972a14dda990290e,11,11-1,11-1-1,Noelle,Gorou,Yelan,Furina,2023-11-16 13:03:25+00:00
7c42cccd92a611ee972a14dda990290e,11,11-1,11-1-2,Ganyu,Sangonomiya Kokomi,Rosaria,Venti,2023-11-16 13:04:20+00:00
7c42cccd92a611ee972a14dda990290e,11,11-2,11-2-1,Noelle,Gorou,Yelan,Furina,2023-11-16 13:05:45+00:00
7c42cccd92a611ee972a14dda990290e,11,11-2,11-2-2,Ganyu,Sangonomiya Kokomi,Rosaria,Venti,2023-11-16 13:07:21+00:00
7c42cccd92a611ee972a14dda990290e,11,11-3,11-3-1,Noelle,Gorou,Yelan,Furina,2023-11-16 13:08:18+00:00
7c42cccd92a611ee972a14dda990290e,11,11-3,11-3-2,Ganyu,Sangonomiya Kokomi,Rosaria,Venti,2023-11-16 13:09:28+00:00
7c42cccd92a611ee972a14dda990290e,12,12-1,12-1-1,Kamisato Ayato,Bennett,Yelan,Kaedehara Kazuha,2023-11-21 10:29:27+00:00
7c42cccd92a611ee972a14dda990290e,12,12-1,12-1-2,Noelle,Gorou,Albedo,Furina,2023-11-21 10:30:53+00:00
7c42cccd92a611ee972a14dda990290e,12,12-2,12-2-1,Kamisato Ayato,Xingqiu,Jean,Kaedehara Kazuha,2023-11-26 21:29:21+00:00
7c42cccd92a611ee972a14dda990290e,12,12-2,12-2-2,Wanderer,Fischl,Yelan,Zhongli,2023-11-26 21:31:07+00:00
7c42cccd92a611ee972a14dda990290e,12,12-3,12-3-1,Kamisato Ayato,Bennett,Yelan,Kaedehara Kazuha,2023-11-21 10:39:04+00:00
7c42cccd92a611ee972a14dda990290e,12,12-3,12-3-2,Noelle,Gorou,Albedo,Furina,2023-11-21 10:40:40+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-1,11-1-1,Furina,Yelan,Qiqi,Zhongli,2023-11-16 18:14:25+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-1,11-1-2,Ningguang,Nahida,Fischl,Beidou,2023-11-16 18:15:07+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-2,11-2-1,Furina,Yelan,Qiqi,Zhongli,2023-11-16 18:16:15+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-2,11-2-2,Ningguang,Nahida,Fischl,Beidou,2023-11-16 18:17:22+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-3,11-3-1,Furina,Yelan,Qiqi,Zhongli,2023-11-16 18:18:10+00:00
7c42f3e792a611eeb82d14dda990290e,11,11-3,11-3-2,Ningguang,Nahida,Fischl,Beidou,2023-11-16 18:19:32+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-1,12-1-1,Furina,Jean,Xingqiu,Yelan,2023-11-19 04:57:33+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-1,12-1-2,Nahida,Fischl,Ningguang,Zhongli,2023-11-19 05:00:11+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-2,12-2-1,Furina,Jean,Xingqiu,Yelan,2023-11-19 05:01:48+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-2,12-2-2,Nahida,Fischl,Ningguang,Zhongli,2023-11-19 05:03:29+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-3,12-3-1,Furina,Jean,Xingqiu,Yelan,2023-11-19 05:04:50+00:00
7c42f3e792a611eeb82d14dda990290e,12,12-3,12-3-2,Nahida,Fischl,Ningguang,Zhongli,2023-11-19 05:06:30+00:00
7c42f3e892a611ee82e014dda990290e,11,11-1,11-1-1,Tartaglia,Xiangling,Sucrose,Bennett,2023-11-16 13:43:07+00:00
7c42f3e892a611ee82e014dda990290e,11,11-1,11-1-2,Eula,Raiden Shogun,Furina,Mika,2023-11-16 13:44:24+00:00
7c42f3e892a611ee82e014dda990290e,11,11-2,11-2-1,Tartaglia,Xiangling,Sucrose,Bennett,2023-11-16 13:45:12+00:00
7c42f3e892a611ee82e014dda990290e,11,11-2,11-2-2,Eula,Raiden Shogun,Furina,Mika,2023-11-16 13:47:33+00:00
7c42f3e892a611ee82e014dda990290e,11,11-3,11-3-1,Tartaglia,Xiangling,Sucrose,Bennett,2023-11-16 13:48:06+00:00
7c42f3e892a611ee82e014dda990290e,11,11-3,11-3-2,Eula,Raiden Shogun,Furina,Mika,2023-11-16 13:49:12+00:00
7c42f3e892a611ee82e014dda990290e,12,12-1,12-1-1,Tartaglia,Thoma,Nahida,Sangonomiya Kokomi,2023-11-29 17:57:00+00:00
