uid,name,element,level,cons,weapon,artifacts
e12403adb97e11ed8bea28c2dd2980ba,Kamisato Ayaka,Cryo,90,0,The Black Sword,Blizzard Strayer
e12403adb97e11ed8bea28c2dd2980ba,Ganyu,Cryo,90,1,Prototype Crescent,Blizzard Strayer
e12403adb97e11ed8bea28c2dd2980ba,Keqing,Electro,90,3,Amenoma Kageuchi,
e12403adb97e11ed8bea28c2dd2980ba,Hu Tao,Pyro,90,1,Primordial Jade Winged-Spear,Crimson Witch of Flames
e12403adb97e11ed8bea28c2dd2980ba,Raiden Shogun,Electro,90,1,Dragon's Bane,Flower of Paradise Lost
e12403adb97e11ed8bea28c2dd2980ba,Sangonomiya Kokomi,Hydro,90,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam
e12403adb97e11ed8bea28c2dd2980ba,Yae Miko,Electro,90,0,The Widsith,"Shimenawa's Reminiscence, Thundering Fury"
e12403adb97e11ed8bea28c2dd2980ba,Yelan,Hydro,90,0,Aqua Simulacra,Emblem of Severed Fate
e12403adb97e11ed8bea28c2dd2980ba,Nilou,Hydro,90,0,Iron Sting,"Tenacity of the Millelith, Flex"
e12403adb97e11ed8bea28c2dd2980ba,Klee,Pyro,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex"
e12403adb97e11ed8bea28c2dd2980ba,Tartaglia,Hydro,89,0,Skyward Harp,"Heart of Depth, Shimenawa's Reminiscence"
e12403adb97e11ed8bea28c2dd2980ba,Albedo,Geo,89,1,Cinnabar Spindle,"Husk of Opulent Dreams, Flex"
e12403adb97e11ed8bea28c2dd2980ba,Kaedehara Kazuha,Anemo,89,0,Favonius Sword,Viridescent Venerer
e12403adb97e11ed8bea28c2dd2980ba,Nahida,Dendro,89,0,A Thousand Floating Dreams,Deepwood Memories
e12403adb97e11ed8bea28c2dd2980ba,Razor,Electro,89,6,Skyward Pride,Gladiator's Finale
e12403adb97e11ed8bea28c2dd2980ba,Amber,Pyro,89,1,The Stringless,Noblesse Oblige
e12403adb97e11ed8bea28c2dd2980ba,Xiangling,Pyro,89,6,"""The Catch""",Emblem of Severed Fate
e12403adb97e11ed8bea28c2dd2980ba,Xingqiu,Hydro,89,6,Sacrificial Sword,Emblem of Severed Fate
e12403adb97e11ed8bea28c2dd2980ba,Ningguang,Geo,89,6,Dodoco Tales,
e12403adb97e11ed8bea28c2dd2980ba,Fischl,Electro,89,6,Elegy for the End,Gladiator's Finale
e12403adb97e11ed8bea28c2dd2980ba,Bennett,Pyro,89,5,Favonius Sword,Noblesse Oblige
e12403adb97e11ed8bea28c2dd2980ba,Diona,Cryo,89,6,Hunter's Bow,Crimson Witch of Flames
e12403adb97e11ed8bea28c2dd2980ba,Sucrose,Anemo,89,6,Sacrificial Fragments,Flex
e12403adb97e11ed8bea28c2dd2980ba,Yanfei,Pyro,89,6,Oathsworn Eye,"Crimson Witch of Flames, Flex"
e12403adb97e11ed8bea28c2dd2980ba,Kujou Sara,Electro,89,6,Hunter's Bow,Emblem of Severed Fate
e12403adb97e11ed8bea28c2dd2980ba,Yun Jin,Geo,89,0,Skyward Spine,Shimenawa's Reminiscence
e12403adb97e11ed8bea28c2dd2980ba,Yaoyao,Dendro,89,0,Favonius Lance,"Emblem of Severed Fate, Flex"
e12403adb97e11ed8bea28c2dd2980ba,Traveler,Dendro,80,5,Kagotsurube Isshin,
e12403adb97e11ed8bea28c2dd2980ba,Barbara,Hydro,79,6,Thrilling Tales of Dragon Slayers,Flex
e12403adb97e11ed8bea28c2dd2980ba,Beidou,Electro,70,6,Prototype Archaic,
e12403adb97e11ed8bea28c2dd2980ba,Qiqi,Cryo,59,2,Toukabou Shigure,
e12403adb97e11ed8bea28c2dd2980ba,Aloy,Cryo,50,0,Hunter's Bow,
e12403adb97e11ed8bea28c2dd2980ba,Lisa,Electro,50,0,Skyward Atlas,
e12403adb97e11ed8bea28c2dd2980ba,Kaeya,Cryo,50,4,Festering Desire,
e12403adb97e11ed8bea28c2dd2980ba,Chongyun,Cryo,50,2,Sacrificial Greatsword,
e12403adb97e11ed8bea28c2dd2980ba,Xinyan,Pyro,50,5,Serpent Spine,
e12403adb97e11ed8bea28c2dd2980ba,Jean,Anemo,40,2,Lion's Roar,
e12403adb97e11ed8bea28c2dd2980ba,Noelle,Geo,40,6,White Iron Greatsword,
e12403adb97e11ed8bea28c2dd2980ba,Sayu,Anemo,23,5,Skyward Pride,"Crimson Witch of Flames, Emblem of Severed Fate"
e12403adb97e11ed8bea28c2dd2980ba,Thoma,Pyro,22,5,Prototype Starglitter,
e12403adb97e11ed8bea28c2dd2980ba,Collei,Dendro,22,1,Sacrificial Bow,Flex
e12403adb97e11ed8bea28c2dd2980ba,Diluc,Pyro,21,0,Waster Greatsword,
e12403adb97e11ed8bea28c2dd2980ba,Rosaria,Cryo,21,6,Beginner's Protector,
e12403adb97e11ed8bea28c2dd2980ba,Gorou,Geo,21,1,Recurve Bow,Instructor
e12403adb97e11ed8bea28c2dd2980ba,Dori,Electro,20,2,Rainslasher,
e1242a8fb97e11ed815628c2dd2980ba,Yoimiya,Pyro,90,1,Thundering Pulse,"Echoes of an Offering, Gladiator's Finale"
e1242a8fb97e11ed815628c2dd2980ba,Raiden Shogun,Electro,90,1,Engulfing Lightning,Emblem of Severed Fate
e1242a8fb97e11ed815628c2dd2980ba,Fischl,Electro,89,6,The Stringless,"Emblem of Severed Fate, Flex"
e1242a8fb97e11ed815628c2dd2980ba,Sangonomiya Kokomi,Hydro,89,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam
e1242a8fb97e11ed815628c2dd2980ba,Yun Jin,Geo,89,6,Skyward Spine,Husk of Opulent Dreams
e1242a8fb97e11ed815628c2dd2980ba,Klee,Pyro,90,0,Solar Pearl,Wanderer's Troupe
e1242a8fb97e11ed815628c2dd2980ba,Kamisato Ayato,Hydro,90,0,The Black Sword,Gladiator's Finale
e1242a8fb97e11ed815628c2dd2980ba,Qiqi,Cryo,80,3,Favonius Sword,Ocean-Hued Clam
e1242a8fb97e11ed815628c2dd2980ba,Jean,Anemo,90,2,Toukabou Shigure,Flex
e1242a8fb97e11ed815628c2dd2980ba,Venti,Anemo,90,0,Elegy for the End,Viridescent Venerer
e1242a8fb97e11ed815628c2dd2980ba,Arataki Itto,Geo,90,0,Snow-Tombed Starsilver,
e1242a8fb97e11ed815628c2dd2980ba,Nahida,Dendro,90,0,The Widsith,"Gilded Dreams, Wanderer's Troupe"
e1242a8fb97e11ed815628c2dd2980ba,Wanderer,Anemo,90,1,Lost Prayer to the Sacred Winds,"Viridescent Venerer, Flex"
e1242a8fb97e11ed815628c2dd2980ba,Tighnari,Dendro,89,0,Skyward Harp,"Gilded Dreams, Noblesse Oblige"
e1242a8fb97e11ed815628c2dd2980ba,Cyno,Electro,89,1,Staff of Homa,"Gilded Dreams, Wanderer's Troupe"
e1242a8fb97e11ed815628c2dd2980ba,Kuki Shinobu,Electro,89,6,Iron Sting,"Wanderer's Troupe, Flex"
e1242a8fb97e11ed815628c2dd2980ba,Dehya,Pyro,89,0,Katsuragikiri Nagamasa,Gladiator's Finale
e1242a8fb97e11ed815628c2dd2980ba,Kamisato Ayaka,Cryo,85,0,Amenoma Kageuchi,Blizzard Strayer
e1242a8fb97e11ed815628c2dd2980ba,Xiao,Anemo,81,0,Primordial Jade Winged-Spear,Vermillion Hereafter
e1242a8fb97e11ed815628c2dd2980ba,Zhongli,Geo,81,0,Favonius Lance,Deepwood Memories
e1242a8fb97e11ed815628c2dd2980ba,Sayu,Anemo,81,6,Wolf's Gravestone,Viridescent Venerer
e1242a8fb97e11ed815628c2dd2980ba,Albedo,Geo,80,0,Cinnabar Spindle,Husk of Opulent Dreams
e1242a8fb97e11ed815628c2dd2980ba,Mona,Hydro,80,3,Oathsworn Eye,Vermillion Hereafter
e1242a8fb97e11ed815628c2dd2980ba,Keqing,Electro,80,4,Dull Blade,
e1242a8fb97e11ed815628c2dd2980ba,Kaedehara Kazuha,Anemo,80,0,Sacrificial Sword,Viridescent Venerer
e1242a8fb97e11ed815628c2dd2980ba,Barbara,Hydro,80,6,Prototype Amber,"Ocean-Hued Clam, Flex"
e1242a8fb97e11ed815628c2dd2980ba,Xiangling,Pyro,80,6,Dragonspine Spear,
e1242a8fb97e11ed815628c2dd2980ba,Beidou,Electro,80,6,Serpent Spine,Flex
