uid,floor,chamber,half,ch1,ch2,ch3,ch4
ff71c124c54011edb9ea28c2dd2980ba,11,11-1,11-1-1,Dehya,Rosaria,Venti,Bennett
ff71c124c54011edb9ea28c2dd2980ba,11,11-1,11-1-2,Nahida,Fischl,Yaoyao,Kuki Shinobu
ff71c124c54011edb9ea28c2dd2980ba,11,11-2,11-2-1,Dehya,Rosaria,Venti,Bennett
ff71c124c54011edb9ea28c2dd2980ba,11,11-2,11-2-2,Nahida,Fischl,Yaoyao,Kuki Shinobu
ff71c124c54011edb9ea28c2dd2980ba,11,11-3,11-3-1,Dehya,Rosaria,Venti,Bennett
ff71c124c54011edb9ea28c2dd2980ba,11,11-3,11-3-2,Nahida,Fischl,Yaoyao,Kuki Shinobu
ff71c124c54011edb9ea28c2dd2980ba,12,12-1,12-1-1,Yoimiya,Kaedehara Kazuha,Dehya,Bennett
ff71c124c54011edb9ea28c2dd2980ba,12,12-1,12-1-2,Nahida,Fischl,Xingqiu,Kuki Shinobu
ff71c124c54011edb9ea28c2dd2980ba,12,12-2,12-2-1,Yoimiya,Kaedehara Kazuha,Dehya,Bennett
ff71c124c54011edb9ea28c2dd2980ba,12,12-2,12-2-2,Nahida,Fischl,Xingqiu,Kuki Shinobu
ff71c124c54011edb9ea28c2dd2980ba,12,12-3,12-3-1,Yoimiya,Kaedehara Kazuha,Dehya,Bennett
ff71c124c54011edb9ea28c2dd2980ba,12,12-3,12-3-2,Nahida,Fischl,Xingqiu,Kuki Shinobu
ff71c125c54011ed8fbd28c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Zhongli,Kujou Sara,Bennett
ff71c125c54011ed8fbd28c2dd2980ba,11,11-1,11-1-2,Diluc,Rosaria,Kaedehara Kazuha,Diona
ff71c125c54011ed8fbd28c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Zhongli,Kujou Sara,Bennett
ff71c125c54011ed8fbd28c2dd2980ba,11,11-2,11-2-2,Diluc,Rosaria,Kaedehara Kazuha,Diona
ff71c125c54011ed8fbd28c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Zhongli,Kujou Sara,Bennett
ff71c125c54011ed8fbd28c2dd2980ba,11,11-3,11-3-2,Diluc,Rosaria,Kaedehara Kazuha,Diona
ff71c125c54011ed8fbd28c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Xingqiu,Xiangling,Bennett
ff71c125c54011ed8fbd28c2dd2980ba,12,12-1,12-1-2,Xiao,Zhongli,Faruzan,Jean
ff71c125c54011ed8fbd28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xingqiu,Xiangling,Bennett
ff71c125c54011ed8fbd28c2dd2980ba,12,12-2,12-2-2,Xiao,Zhongli,Faruzan,Jean
ff71c125c54011ed8fbd28c2dd2980ba,12,12-3,12-3-1,Xiao,Zhongli,Faruzan,Jean
ff71c125c54011ed8fbd28c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Kaedehara Kazuha,Kujou Sara,Bennett
ff71c126c54011ed991c28c2dd2980ba,11,11-1,11-1-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
ff71c126c54011ed991c28c2dd2980ba,11,11-1,11-1-2,Hu Tao,Yelan,Nahida,Zhongli
ff71c126c54011ed991c28c2dd2980ba,11,11-2,11-2-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
ff71c126c54011ed991c28c2dd2980ba,11,11-2,11-2-2,Hu Tao,Yelan,Nahida,Zhongli
ff71c126c54011ed991c28c2dd2980ba,11,11-3,11-3-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
ff71c126c54011ed991c28c2dd2980ba,11,11-3,11-3-2,Hu Tao,Yelan,Nahida,Zhongli
ff71c126c54011ed991c28c2dd2980ba,12,12-1,12-1-1,Hu Tao,Yelan,Xingqiu,Zhongli
ff71c126c54011ed991c28c2dd2980ba,12,12-1,12-1-2,Nahida,Tartaglia,Fischl,Kuki Shinobu
ff71c126c54011ed991c28c2dd2980ba,12,12-2,12-2-1,Hu Tao,Yelan,Xingqiu,Zhongli
