uid,phase,name,level,cons,weapon,artifacts,element
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Raiden Shogun,90,3,Engulfing Lightning,Emblem of Severed Fate,Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Yae Miko,90,2,Kagura's Verity,Golden Troupe,Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Lisa,90,6,Kagura's Verity,"Gladiator's Finale, Thundering Fury",Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Beidou,90,6,Beacon of the Reed Sea,Emblem of Severed Fate,Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Kujou Sara,90,6,Skyward Harp,Emblem of Severed Fate,Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Kuki Shinobu,90,2,Dark Iron Sword,Tenacity of the Millelith,Electro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Traveler,89,6,Sacrificial Sword,"Emblem of Severed Fate, Gilded Dreams",Dendro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Jean,88,3,Primordial Jade Cutter,Noblesse Oblige,Anemo
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Venti,88,4,The Stringless,Viridescent Venerer,Anemo
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Zhongli,88,0,Staff of Homa,"Gladiator's Finale, Tenacity of the Millelith",Geo
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Ganyu,88,2,Polar Star,Wanderer's Troupe,Cryo
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Yelan,88,0,Aqua Simulacra,"Emblem of Severed Fate, Heart of Depth",Hydro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Nahida,88,0,Fruit of Fulfillment,Deepwood Memories,Dendro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Furina,88,0,Festering Desire,Golden Troupe,Hydro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Navia,88,0,Verdict,"Gladiator's Finale, Marechaussee Hunter",Geo
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Klee,80,0,Dodoco Tales,"Crimson Witch of Flames, Gladiator's Finale",Pyro
1ea0a585d62d11eeb61328c2dd2980ba,2.2b,Mona,80,0,Skyward Atlas,Emblem of Severed Fate,Hydro
