uid,phase,name,level,cons,weapon,artifacts,element
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Kamisato Ayaka,90,0,Amenoma Kageuchi,"Blizzard Strayer, Wanderer's Troupe",Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Ganyu,90,1,Skyward Harp,Blizzard Strayer,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Keqing,90,3,The Black Sword,Thundering Fury,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Hu Tao,90,1,Primordial Jade Winged-Spear,Crimson Witch of Flames,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Raiden Shogun,90,1,Dragon's Bane,Flower of Paradise Lost,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Sangonomiya Kokomi,90,0,Sacrificial Fragments,Ocean-Hued Clam,Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Yae Miko,90,0,The Widsith,"Shimenawa's Reminiscence, Thundering Fury",Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Yelan,90,0,Aqua Simulacra,"Heart of Depth, Nymph's Dream",Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Nilou,90,0,Iron Sting,"Tenacity of the Millelith, Vourukasha's Glow",Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Klee,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex",Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Tartaglia,89,0,Prototype Crescent,"Heart of Depth, Shimenawa's Reminiscence",Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Albedo,89,1,Dull Blade,Instructor,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Kaedehara Kazuha,89,0,Favonius Sword,Viridescent Venerer,Anemo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Nahida,89,0,A Thousand Floating Dreams,Deepwood Memories,Dendro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Razor,89,6,Skyward Pride,Gladiator's Finale,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Amber,89,1,The Stringless,Instructor,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Xiangling,89,6,"""The Catch""",Emblem of Severed Fate,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Xingqiu,89,6,Favonius Sword,Emblem of Severed Fate,Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Ningguang,89,6,Dodoco Tales,,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Fischl,89,6,Elegy for the End,"Gladiator's Finale, Thundering Fury",Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Bennett,89,5,Favonius Sword,Noblesse Oblige,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Diona,89,6,Sacrificial Bow,Emblem of Severed Fate,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Sucrose,89,6,Thrilling Tales of Dragon Slayers,,Anemo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Yanfei,89,6,Solar Pearl,"Crimson Witch of Flames, Emblem of Severed Fate",Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Kujou Sara,89,6,Favonius Warbow,Emblem of Severed Fate,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Yun Jin,89,1,Skyward Spine,Shimenawa's Reminiscence,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Layla,89,0,Sacrificial Sword,"Gilded Dreams, Noblesse Oblige",Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Yaoyao,89,0,Beginner's Protector,Flex,Dendro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Zhongli,89,0,Favonius Lance,Tenacity of the Millelith,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Traveler,80,0,Dull Blade,,Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Barbara,79,6,Thrilling Tales of Dragon Slayers,Flex,Hydro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Beidou,70,6,Prototype Archaic,,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Qiqi,59,2,Toukabou Shigure,,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Aloy,50,0,Hunter's Bow,,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Lisa,50,0,Apprentice's Notes,,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Kaeya,50,4,Festering Desire,,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Chongyun,50,2,Sacrificial Greatsword,,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Xinyan,50,5,Serpent Spine,,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Jean,40,3,Lion's Roar,,Anemo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Noelle,40,6,White Iron Greatsword,,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Sayu,24,5,Skyward Pride,"Emblem of Severed Fate, Flex",Anemo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Thoma,22,5,Prototype Starglitter,,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Collei,22,1,Rust,Flex,Dendro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Diluc,21,1,Waster Greatsword,,Pyro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Rosaria,21,6,Beginner's Protector,,Cryo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Gorou,21,1,Recurve Bow,Instructor,Geo
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Dori,20,2,Rainslasher,,Electro
770c8f5f507a11ee98f128c2dd2980ba,2.2b,Lynette,5,0,Dull Blade,,Anemo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Yoimiya,90,2,Thundering Pulse,Shimenawa's Reminiscence,Pyro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Raiden Shogun,90,1,Engulfing Lightning,Emblem of Severed Fate,Electro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Fischl,89,6,Aqua Simulacra,"Gilded Dreams, Golden Troupe",Electro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Sangonomiya Kokomi,89,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam,Hydro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Yun Jin,89,6,"""The Catch""",Husk of Opulent Dreams,Geo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Klee,90,0,Solar Pearl,Wanderer's Troupe,Pyro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Kamisato Ayato,90,0,The Black Sword,Nymph's Dream,Hydro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Qiqi,80,3,Favonius Sword,Ocean-Hued Clam,Cryo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Jean,90,4,Fleuve Cendre Ferryman,Noblesse Oblige,Anemo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Venti,90,0,Elegy for the End,Viridescent Venerer,Anemo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Arataki Itto,90,0,Snow-Tombed Starsilver,,Geo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Nahida,90,0,The Widsith,"Gilded Dreams, Wanderer's Troupe",Dendro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Wanderer,90,1,Lost Prayer to the Sacred Winds,"Viridescent Venerer, Flex",Anemo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Dehya,90,0,Wolf's Gravestone,Vourukasha's Glow,Pyro
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Shenhe,89,0,Favonius Lance,"Emblem of Severed Fate, Shimenawa's Reminiscence",Cryo
770c8f60507a11ee8b9328c2dd2980ba,2.2b,Tighnari,89,0,Hunter's Bow,"Noblesse Oblige, Flex",Dendro
