uid,phase,name,level,cons,weapon,artifacts,element
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Kamisato Ayaka,90,0,Amenoma Kageuchi,"Blizzard Strayer, Wanderer's Troupe",Cryo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Ganyu,90,1,Skyward Harp,Blizzard Strayer,Cryo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Keqing,90,3,The Black Sword,Thundering Fury,Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Hu Tao,90,1,Staff of Homa,Crimson Witch of Flames,Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Raiden Shogun,90,1,Dragon's Bane,Flower of Paradise Lost,Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Sangonomiya Kokomi,90,0,Sacrificial Fragments,Ocean-Hued Clam,Hydro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Yae Miko,90,0,The Widsith,"Shimenawa's Reminiscence, Thundering Fury",Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Yelan,90,0,Aqua Simulacra,"Heart of Depth, Nymph's Dream",Hydro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Nilou,90,0,Iron Sting,"Tenacity of the Millelith, Vourukasha's Glow",Hydro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Klee,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex",Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Tartaglia,89,0,Prototype Crescent,"Heart of Depth, Shimenawa's Reminiscence",Hydro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Albedo,89,1,Dull Blade,Instructor,Geo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Kaedehara Kazuha,89,0,Favonius Sword,,Anemo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Nahida,89,0,A Thousand Floating Dreams,Deepwood Memories,Dendro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Razor,89,6,Skyward Pride,Gladiator's Finale,Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Amber,89,2,The Stringless,Instructor,Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Xiangling,89,6,"""The Catch""",Emblem of Severed Fate,Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Xingqiu,89,6,Favonius Sword,Emblem of Severed Fate,Hydro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Ningguang,89,6,Dodoco Tales,,Geo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Fischl,89,6,Elegy for the End,"Gladiator's Finale, Thundering Fury",Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Bennett,89,6,Sapwood Blade,Archaic Petra,Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Diona,89,6,Sacrificial Bow,Emblem of Severed Fate,Cryo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Sucrose,89,6,Thrilling Tales of Dragon Slayers,Viridescent Venerer,Anemo
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Yanfei,89,6,Solar Pearl,"Crimson Witch of Flames, Emblem of Severed Fate",Pyro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Kujou Sara,89,6,Favonius Warbow,Emblem of Severed Fate,Electro
aa19a00f6b4011eebafe28c2dd2980ba,2.2b,Yun Jin,89,1,Skyward Spine,Shimenawa's Reminiscence,Geo
