uid,floor,chamber,half,ch1,ch2,ch3,ch4
aada9c8fddc111edb31c28c2dd2980ba,11,11-1,11-1-1,Cyno,Nahida,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,11,11-1,11-1-2,Kamisato Ayaka,Shenhe,Venti,Sangonomiya Kokomi
aada9c8fddc111edb31c28c2dd2980ba,11,11-2,11-2-1,Cyno,Nahida,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,11,11-2,11-2-2,Kamisato Ayaka,Shenhe,Venti,Sangonomiya Kokomi
aada9c8fddc111edb31c28c2dd2980ba,11,11-3,11-3-1,Cyno,Nahida,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,11,11-3,11-3-2,Kamisato Ayaka,Shenhe,Venti,Sangonomiya Kokomi
aada9c8fddc111edb31c28c2dd2980ba,12,12-1,12-1-1,Nahida,Fischl,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,12,12-1,12-1-2,Xiao,Albedo,Zhongli,Bennett
aada9c8fddc111edb31c28c2dd2980ba,12,12-2,12-2-1,Nahida,Fischl,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,12,12-2,12-2-2,Xiao,Albedo,Zhongli,Bennett
aada9c8fddc111edb31c28c2dd2980ba,12,12-3,12-3-1,Nahida,Fischl,Xingqiu,Kuki Shinobu
aada9c8fddc111edb31c28c2dd2980ba,12,12-3,12-3-2,Xiao,Albedo,Zhongli,Bennett
aadac38bddc111ed986028c2dd2980ba,11,11-1,11-1-1,Beidou,Fischl,Sucrose,Yaoyao
aadac38bddc111ed986028c2dd2980ba,11,11-1,11-1-2,Kamisato Ayaka,Kuki Shinobu,Xingqiu,Nahida
aadac38bddc111ed986028c2dd2980ba,11,11-2,11-2-1,Beidou,Fischl,Sucrose,Yaoyao
aadac38bddc111ed986028c2dd2980ba,11,11-2,11-2-2,Kamisato Ayaka,Kuki Shinobu,Xingqiu,Nahida
aadac38bddc111ed986028c2dd2980ba,11,11-3,11-3-1,Beidou,Fischl,Sucrose,Yaoyao
aadac38bddc111ed986028c2dd2980ba,11,11-3,11-3-2,Kamisato Ayaka,Kuki Shinobu,Xingqiu,Nahida
aadac38bddc111ed986028c2dd2980ba,12,12-1,12-1-1,Nahida,Kuki Shinobu,Beidou,Xingqiu
aadac38bddc111ed986028c2dd2980ba,12,12-1,12-1-2,Kamisato Ayaka,Ganyu,Kaedehara Kazuha,Sangonomiya Kokomi
aadac38bddc111ed986028c2dd2980ba,12,12-2,12-2-1,Yelan,Xingqiu,Nahida,Kuki Shinobu
aadac38bddc111ed986028c2dd2980ba,12,12-2,12-2-2,Beidou,Fischl,Sucrose,Yaoyao
aadac38bddc111ed986028c2dd2980ba,12,12-3,12-3-1,Yelan,Xingqiu,Nahida,Kuki Shinobu
aadac38bddc111ed986028c2dd2980ba,12,12-3,12-3-2,Beidou,Fischl,Sucrose,Yaoyao
aadac38cddc111ed851b28c2dd2980ba,11,11-1,11-1-1,Nilou,Sangonomiya Kokomi,Traveler,Collei
aadac38cddc111ed851b28c2dd2980ba,11,11-1,11-1-2,Alhaitham,Nahida,Yelan,Kuki Shinobu
