uid,floor,chamber,half,ch1,ch2,ch3,ch4
2ab7bb8abe3511edbef428c2dd2980ba,11,11-1,11-1-1,Yae Miko,Nahida,Fischl,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,11,11-1,11-1-2,Hu Tao,Xingqiu,Yelan,Kaedehara Kazuha
2ab7bb8abe3511edbef428c2dd2980ba,11,11-2,11-2-1,Yae Miko,Nahida,Fischl,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,11,11-2,11-2-2,Hu Tao,Xingqiu,Yelan,Kaedehara Kazuha
2ab7bb8abe3511edbef428c2dd2980ba,11,11-3,11-3-1,Yae Miko,Nahida,Fischl,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,11,11-3,11-3-2,Hu Tao,Xingqiu,Yelan,Kaedehara Kazuha
2ab7bb8abe3511edbef428c2dd2980ba,12,12-1,12-1-1,Yae Miko,Nahida,Fischl,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,12,12-1,12-1-2,Hu Tao,Xingqiu,Yelan,Kaedehara Kazuha
2ab7bb8abe3511edbef428c2dd2980ba,12,12-2,12-2-1,Tartaglia,Bennett,Xiangling,Kaedehara Kazuha
2ab7bb8abe3511edbef428c2dd2980ba,12,12-2,12-2-2,Hu Tao,Xingqiu,Yelan,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,12,12-3,12-3-1,Yae Miko,Nahida,Fischl,Zhongli
2ab7bb8abe3511edbef428c2dd2980ba,12,12-3,12-3-2,Hu Tao,Xingqiu,Yelan,Kaedehara Kazuha
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-1,11-1-1,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-2,11-2-1,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-3,11-3-1,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8bbe3511ed8f8228c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-1,12-1-2,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-2,12-2-2,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Xingqiu,Nahida,Bennett
2ab7bb8bbe3511ed8f8228c2dd2980ba,12,12-3,12-3-2,Tighnari,Yae Miko,Kaedehara Kazuha,Sangonomiya Kokomi
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-1,11-1-1,Diluc,Yelan,Bennett,Xingqiu
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-1,11-1-2,Ganyu,Kamisato Ayaka,Shenhe,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-2,11-2-1,Diluc,Yelan,Bennett,Xingqiu
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-2,11-2-2,Ganyu,Kamisato Ayaka,Shenhe,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-3,11-3-1,Diluc,Yelan,Bennett,Xingqiu
2ab7bb8cbe3511edaf8a28c2dd2980ba,11,11-3,11-3-2,Ganyu,Kamisato Ayaka,Shenhe,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-1,12-1-1,Ganyu,Shenhe,Raiden Shogun,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-1,12-1-2,Hu Tao,Yelan,Xingqiu,Diona
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-2,12-2-1,Ganyu,Shenhe,Raiden Shogun,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-2,12-2-2,Hu Tao,Yelan,Xingqiu,Diona
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-3,12-3-1,Ganyu,Shenhe,Raiden Shogun,Zhongli
2ab7bb8cbe3511edaf8a28c2dd2980ba,12,12-3,12-3-2,Hu Tao,Yelan,Xingqiu,Diona
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-1,11-1-1,Albedo,Zhongli,Gorou,Arataki Itto
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-1,11-1-2,Nahida,Yelan,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-2,11-2-1,Albedo,Zhongli,Gorou,Arataki Itto
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-2,11-2-2,Nahida,Yelan,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-3,11-3-1,Albedo,Zhongli,Gorou,Arataki Itto
2ab7bb8dbe3511eda83728c2dd2980ba,11,11-3,11-3-2,Nahida,Yelan,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-1,12-1-1,Nahida,Xingqiu,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-1,12-1-2,Zhongli,Bennett,Gorou,Arataki Itto
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-2,12-2-1,Nahida,Xingqiu,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-2,12-2-2,Zhongli,Bennett,Gorou,Arataki Itto
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-3,12-3-1,Nahida,Xingqiu,Kuki Shinobu,Traveler
2ab7bb8dbe3511eda83728c2dd2980ba,12,12-3,12-3-2,Zhongli,Bennett,Gorou,Arataki Itto
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-1,11-1-1,Yelan,Nahida,Xingqiu,Kuki Shinobu
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-1,11-1-2,Ganyu,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-2,11-2-1,Yelan,Nahida,Xingqiu,Kuki Shinobu
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-2,11-2-2,Ganyu,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-3,11-3-1,Yelan,Nahida,Xingqiu,Kuki Shinobu
2ab7e28abe3511ed9c3b28c2dd2980ba,11,11-3,11-3-2,Ganyu,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-1,12-1-1,Yelan,Nahida,Raiden Shogun,Sangonomiya Kokomi
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-1,12-1-2,Kamisato Ayaka,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-2,12-2-1,Yelan,Nahida,Raiden Shogun,Sangonomiya Kokomi
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-2,12-2-2,Kamisato Ayaka,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-3,12-3-1,Yelan,Nahida,Raiden Shogun,Sangonomiya Kokomi
2ab7e28abe3511ed9c3b28c2dd2980ba,12,12-3,12-3-2,Kamisato Ayaka,Kaedehara Kazuha,Shenhe,Zhongli
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Bennett,Xiangling,Nahida
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-1,11-1-2,Kamisato Ayaka,Rosaria,Kaedehara Kazuha,Xingqiu
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Bennett,Xiangling,Nahida
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-2,11-2-2,Kamisato Ayaka,Rosaria,Kaedehara Kazuha,Xingqiu
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Bennett,Xiangling,Nahida
2ab7e28bbe3511ed9f4428c2dd2980ba,11,11-3,11-3-2,Kamisato Ayaka,Rosaria,Kaedehara Kazuha,Xingqiu
2ab7e28bbe3511ed9f4428c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Xingqiu,Xiangling,Bennett
2ab7e28bbe3511ed9f4428c2dd2980ba,12,12-1,12-1-2,Kamisato Ayaka,Kaedehara Kazuha,Rosaria,Zhongli
2ab7e28bbe3511ed9f4428c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xingqiu,Xiangling,Bennett
2ab7e28bbe3511ed9f4428c2dd2980ba,12,12-2,12-2-2,Kamisato Ayaka,Kaedehara Kazuha,Rosaria,Zhongli
2ab7e28bbe3511ed9f4428c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Xingqiu,Xiangling,Bennett
